[Thu May 26 15:06:22 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mNLypnutTAA:APA91bHhndDvLMXSwg1zLvFPqcngDCStW_eUPcJBLPQ-850pa5lZcoQgCzevMfTOqtJvYO4p2DMAKI6kmre6afS4p7s-26z82SU8lnQKaH769VVjQsb8v3WZ9IWvmHo1uRl_P732Qg_s]	 Status: [Existing]
[Thu May 26 15:06:22 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mNLypnutTAA:APA91bHhndDvLMXSwg1zLvFPqcngDCStW_eUPcJBLPQ-850pa5lZcoQgCzevMfTOqtJvYO4p2DMAKI6kmre6afS4p7s-26z82SU8lnQKaH769VVjQsb8v3WZ9IWvmHo1uRl_P732Qg_s]
[Thu May 26 15:21:32 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mNLypnutTAA:APA91bHhndDvLMXSwg1zLvFPqcngDCStW_eUPcJBLPQ-850pa5lZcoQgCzevMfTOqtJvYO4p2DMAKI6kmre6afS4p7s-26z82SU8lnQKaH769VVjQsb8v3WZ9IWvmHo1uRl_P732Qg_s]	 Status: [Existing]
[Thu May 26 15:21:32 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mNLypnutTAA:APA91bHhndDvLMXSwg1zLvFPqcngDCStW_eUPcJBLPQ-850pa5lZcoQgCzevMfTOqtJvYO4p2DMAKI6kmre6afS4p7s-26z82SU8lnQKaH769VVjQsb8v3WZ9IWvmHo1uRl_P732Qg_s]	 Status: [Existing]
[Thu May 26 15:23:44 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mNLypnutTAA:APA91bHhndDvLMXSwg1zLvFPqcngDCStW_eUPcJBLPQ-850pa5lZcoQgCzevMfTOqtJvYO4p2DMAKI6kmre6afS4p7s-26z82SU8lnQKaH769VVjQsb8v3WZ9IWvmHo1uRl_P732Qg_s]	 Status: [Existing]
[Thu May 26 15:23:44 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mNLypnutTAA:APA91bHhndDvLMXSwg1zLvFPqcngDCStW_eUPcJBLPQ-850pa5lZcoQgCzevMfTOqtJvYO4p2DMAKI6kmre6afS4p7s-26z82SU8lnQKaH769VVjQsb8v3WZ9IWvmHo1uRl_P732Qg_s]
[Thu May 26 15:41:56 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: nv-9a9JC4yM:APA91bHsHcoXu1XoCZE2uLMo-t0N1q1_Ry5XphF1FjTdvaQcOIYOuH5YXDgxDhiidIYs8gyvWSuXq3wZ_co8iwFhSgHVgo5E78PpLy4bQlVC0FdOkfm-47Vdn0njYwBbA_CiHp_z8v_e]	 Status: [Existing]
[Thu May 26 15:41:57 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: nv-9a9JC4yM:APA91bHsHcoXu1XoCZE2uLMo-t0N1q1_Ry5XphF1FjTdvaQcOIYOuH5YXDgxDhiidIYs8gyvWSuXq3wZ_co8iwFhSgHVgo5E78PpLy4bQlVC0FdOkfm-47Vdn0njYwBbA_CiHp_z8v_e]	 Status: [Existing]
[Thu May 26 15:44:12 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: nv-9a9JC4yM:APA91bHsHcoXu1XoCZE2uLMo-t0N1q1_Ry5XphF1FjTdvaQcOIYOuH5YXDgxDhiidIYs8gyvWSuXq3wZ_co8iwFhSgHVgo5E78PpLy4bQlVC0FdOkfm-47Vdn0njYwBbA_CiHp_z8v_e]	 Status: [Existing]
[Thu May 26 15:44:12 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: nv-9a9JC4yM:APA91bHsHcoXu1XoCZE2uLMo-t0N1q1_Ry5XphF1FjTdvaQcOIYOuH5YXDgxDhiidIYs8gyvWSuXq3wZ_co8iwFhSgHVgo5E78PpLy4bQlVC0FdOkfm-47Vdn0njYwBbA_CiHp_z8v_e]
[Thu May 26 15:46:40 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: may0KtTJ7f8:APA91bEW2d6P62Wg1N4vDwZfLR7tRQ0Wbu-gIDgvbV45olxdlZeeort4zT8l9OYtuu-1Wcm5fmIVYkOx9NfbplkxJoq5lOkgfinWgHzCvW8I3d9k_iTgSAzlardAYVcHRzJkQ8_dewwV]	 Status: [Existing]
[Thu May 26 15:46:40 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: may0KtTJ7f8:APA91bEW2d6P62Wg1N4vDwZfLR7tRQ0Wbu-gIDgvbV45olxdlZeeort4zT8l9OYtuu-1Wcm5fmIVYkOx9NfbplkxJoq5lOkgfinWgHzCvW8I3d9k_iTgSAzlardAYVcHRzJkQ8_dewwV]
[Thu May 26 15:47:29 2016]	[client: 121.54.54.191] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: nDstLcOiD_o:APA91bFCH5KtYjF8gp-tzsLTijki5GAmqTPBBRy49ZA9eNiKnK0FWaARnrlzJUMzyA7H6xERUubLcTJbzzfh4yOlfTxkfUZmPLy3h2TB8n5zJI6ta9tLJfW44JJkjr6xWrYojvfs7Ejm]	 Status: [Existing]
